player_id,username,alpha_mean,alpha_lwr,alpha_upr,beta_mean,beta_lwr,beta_upr,prob_beta_positive,elo_change_mean,elo_change_lwr,elo_change_upr,trajectory_class,evidence_strength
147,mismotor,1792.0556953324153,1735.0856418332157,1954.2518162926106,-22.966268543096604,-87.06809748226829,18.843669149855835,0.10625,-45.93253708619321,-174.13619496453657,37.68733829971167,stable/uncertain,0.39375
133,manova-jeu,1757.4983957605355,1733.7965718304367,1814.5698660006124,-29.804959633007865,-105.71579433530584,17.481012288026445,0.1105,-59.60991926601573,-211.4315886706117,34.96202457605289,stable/uncertain,0.3895
159,ninastorozhenko72,1754.7744147424432,1733.585087839753,1804.4913511126385,-29.09027863486099,-108.96701219028743,21.093442276836555,0.12075,-58.18055726972198,-217.93402438057487,42.18688455367311,stable/uncertain,0.37925
173,reflection1502,1761.8593053777815,1733.8879076590592,1824.9919131982865,-19.56901270045072,-67.71931820621688,22.679990253896293,0.12725,-39.13802540090144,-135.43863641243377,45.359980507792585,stable/uncertain,0.37275
180,safiri,1771.3699331293617,1734.5513981655472,1870.6074779610087,-18.484142133541084,-69.73470447340313,18.823297992174837,0.129,-36.96828426708217,-139.46940894680625,37.64659598434967,stable/uncertain,0.371
111,karimkot,1756.2825776104883,1734.5417917231355,1811.1008843812072,-15.425768246239357,-60.40563821460892,24.316235943071458,0.1525,-30.851536492478715,-120.81127642921784,48.632471886142916,stable/uncertain,0.34750000000000003
150,moslem403019,1754.9519176264398,1734.2016657746915,1800.5058179841394,-14.829867624891536,-58.21128367635463,26.946336131144495,0.1525,-29.659735249783072,-116.42256735270927,53.89267226228899,stable/uncertain,0.34750000000000003
83,gorgojokiller,1755.1317805479748,1734.0280702992923,1800.811644096358,-15.068181243369215,-58.161723541598555,23.626523597717668,0.16075,-30.13636248673843,-116.32344708319711,47.253047195435336,stable/uncertain,0.33925
157,nemanjabogut1983,1746.9718932656458,1727.882507034328,1781.4553313425663,-15.243129883651337,-62.52414689270651,27.867510688460833,0.1635,-30.486259767302673,-125.04829378541302,55.735021376921665,stable/uncertain,0.3365
179,s4cr3d,1778.6849532051874,1734.9956799341146,1892.7265151270099,-15.688149517135582,-70.85029939270089,20.567782758871022,0.1635,-31.376299034271163,-141.70059878540178,41.135565517742045,stable/uncertain,0.3365
33,bloodraven92,1769.1376617455328,1735.5122682011447,1853.716546279363,-14.326922675170248,-62.71125935028384,20.783516465864043,0.1665,-28.653845350340497,-125.42251870056768,41.567032931728086,stable/uncertain,0.3335
4,ajedrezminero56,1759.3110693929468,1733.8328458419933,1815.8162767910435,-13.16510584442353,-54.99597913252579,27.022493269270544,0.1705,-26.33021168884706,-109.99195826505158,54.04498653854109,stable/uncertain,0.3295
135,mark20052017,1758.1270412338881,1734.958326040135,1812.1605031970244,-13.05665703350166,-54.466326870081005,26.70808514887927,0.17225,-26.11331406700332,-108.93265374016201,53.41617029775854,stable/uncertain,0.32775
5,alekcy2k,1745.0434268161446,1711.2828538083882,1783.9246703610947,-15.032005119818582,-72.87139730256656,30.583782492385968,0.1745,-30.064010239637163,-145.74279460513313,61.167564984771936,stable/uncertain,0.3255
70,fabiod360,1726.1896175799116,1660.0707613413142,1763.6261623514174,-13.439526338490479,-55.94839374744895,23.808533011933974,0.17475,-26.879052676980958,-111.8967874948979,47.61706602386795,stable/uncertain,0.32525000000000004
224,waleczny5,1766.092257190962,1735.2744280311638,1840.531099215412,-13.243911862221534,-56.209043266928134,24.674028421127932,0.17525,-26.487823724443068,-112.41808653385627,49.348056842255865,stable/uncertain,0.32475
27,beshojak,1754.085307341592,1733.216077357338,1800.4851813849766,-13.030531153923068,-56.737361578427695,31.060609718327115,0.1765,-26.061062307846136,-113.47472315685539,62.12121943665423,stable/uncertain,0.3235
221,vasil0,1782.7194784507547,1734.0261930413778,1905.5686376661654,-14.109214100940513,-69.25167305797048,21.653599950037005,0.1775,-28.218428201881025,-138.50334611594096,43.30719990007401,stable/uncertain,0.3225
143,metinyetkin,1770.22887032273,1734.650906027127,1855.455256859887,-12.876164386560939,-57.66189397946449,25.333437416237924,0.1795,-25.752328773121878,-115.32378795892897,50.66687483247585,stable/uncertain,0.3205
176,rishijha,1755.7128477349208,1733.090881252181,1807.3946976628272,-12.764677583780855,-57.784047539728675,30.45467681800139,0.18275,-25.52935516756171,-115.56809507945735,60.90935363600278,stable/uncertain,0.31725000000000003
118,kristianwinther,1757.0243505957803,1733.1196229516172,1810.767865044835,-12.471366826182583,-51.69154030532606,28.562948525880117,0.18325,-24.942733652365167,-103.38308061065212,57.125897051760234,stable/uncertain,0.31675
31,bilalkrgl,1749.6818381473656,1732.4977680808627,1782.3793759739751,-12.561559454866421,-53.06076941235505,27.009511526379328,0.18425,-25.123118909732842,-106.1215388247101,54.019023052758655,stable/uncertain,0.31575
140,meowingtons,1750.5108234435218,1733.2433923355948,1785.4652273653649,-11.94744790607687,-53.69970955932101,28.316772332510016,0.1845,-23.89489581215374,-107.39941911864202,56.63354466502003,stable/uncertain,0.3155
94,humid1,1761.9187167061277,1733.1328482608078,1829.249765862586,-12.712381857918839,-58.18656132274175,23.093398129761923,0.18525,-25.424763715837678,-116.3731226454835,46.186796259523845,stable/uncertain,0.31475
69,escanor1141,1755.390438844092,1731.9169810097715,1807.050245687955,-13.919544277415259,-59.8464633513347,31.966026093830838,0.188,-27.839088554830518,-119.6929267026694,63.932052187661675,stable/uncertain,0.312
136,masakrista,1758.9926443849997,1733.9650869568177,1816.8936573635274,-12.12794742639544,-55.10630557835034,26.45870166737039,0.19125,-24.25589485279088,-110.21261115670067,52.91740333474078,stable/uncertain,0.30874999999999997
95,ilija1410,1742.2120679614102,1720.4191226680057,1767.261114389301,-12.122903507342935,-53.16418726635768,32.83009098402731,0.19225,-24.24580701468587,-106.32837453271536,65.66018196805462,stable/uncertain,0.30774999999999997
197,sven0x14,1742.7592038765954,1718.655547077205,1767.8460772864175,-11.81031610807421,-53.37516107150218,31.58767213425504,0.19525,-23.62063221614842,-106.75032214300435,63.17534426851008,stable/uncertain,0.30474999999999997
189,silgam58,1757.6840955736113,1734.3176492790321,1810.2386916403611,-12.203978904334388,-58.38331823371396,28.697898573729592,0.19675,-24.407957808668776,-116.76663646742792,57.395797147459184,stable/uncertain,0.30325
